year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;12.77
2003;1;East;900-1300m;Cropland;15.11
2003;1;South;900-1300m;Cropland;13.49
2003;1;West;900-1300m;Cropland;12.215
2003;1;Flat;900-1300m;Cropland;14.52777778
2003;1;North;900-1300m;Grassland;13.75
2003;1;East;900-1300m;Grassland;13.23
2003;1;South;900-1300m;Grassland;13.99
2003;1;West;900-1300m;Grassland;14.09
2003;1;Flat;900-1300m;Grassland;12.37
2003;1;South;1300-1700m;Grassland;12.93
2003;1;West;1300-1700m;Grassland;12.03
2003;1;Flat;1300-1700m;Grassland;13.55
2003;2;North;900-1300m;Cropland;13.95
2003;2;East;900-1300m;Cropland;14.43
2003;2;South;900-1300m;Cropland;14.55
2003;2;West;900-1300m;Cropland;14.37
2003;2;Flat;900-1300m;Cropland;13.71666667
2003;2;North;900-1300m;Grassland;13.11
2003;2;East;900-1300m;Grassland;12.83
2003;2;South;900-1300m;Grassland;12.77
2003;2;Flat;900-1300m;Grassland;14.49
2003;2;West;900-1300m;Urban;14.53
2003;2;North;1300-1700m;Grassland;11.67
2003;3;North;900-1300m;Cropland;28.79
2003;3;East;900-1300m;Cropland;28.83
2003;3;South;900-1300m;Cropland;29.09
2003;3;West;900-1300m;Cropland;24.75
2003;3;Flat;900-1300m;Cropland;27.86762837
2003;3;Flat;900-1300m;Barren_Sparse_Vegetation;22.31
2003;3;North;900-1300m;Grassland;25.54
2003;3;East;900-1300m;Grassland;34.03
2003;3;South;900-1300m;Grassland;29.47
2003;3;Flat;900-1300m;Grassland;25.87886385
2003;3;Flat;900-1300m;Urban;16.67
2003;4;North;900-1300m;Cropland;29.9275
2003;4;East;900-1300m;Cropland;31.85
2003;4;South;900-1300m;Cropland;36.33
2003;4;West;900-1300m;Cropland;31.35
2003;4;Flat;900-1300m;Cropland;31.76913696
2003;4;Flat;900-1300m;Barren_Sparse_Vegetation;31.05
2003;4;North;900-1300m;Grassland;28.765
2003;4;East;900-1300m;Grassland;28.85
2003;4;South;900-1300m;Grassland;28.33
2003;4;West;900-1300m;Grassland;28.69
2003;4;Flat;900-1300m;Grassland;34.92490584
2003;4;West;900-1300m;Urban;31.42
2003;4;Flat;900-1300m;Urban;34.94
2003;4;North;1300-1700m;Grassland;27.34
2003;4;East;1300-1700m;Grassland;27.87
2003;4;South;1300-1700m;Grassland;27.62
