year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;13.11
2003;1;East;900-1300m;Cropland;15.07
2003;1;South;900-1300m;Cropland;15.25
2003;1;West;900-1300m;Cropland;12.64
2003;1;Flat;900-1300m;Cropland;14.98
2003;1;North;900-1300m;Grassland;12.535
2003;1;East;900-1300m;Grassland;13.43
2003;1;South;900-1300m;Grassland;14.42
2003;1;West;900-1300m;Grassland;12.28
2003;1;Flat;900-1300m;Grassland;13.79
2003;1;North;900-1300m;Shrubland_Savanna;9.07
2003;1;West;900-1300m;Shrubland_Savanna;8.42
2003;1;Flat;900-1300m;Shrubland_Savanna;8.05
2003;1;North;900-1300m;Urban;13.66
2003;1;East;900-1300m;Urban;13.43
2003;1;Flat;900-1300m;Urban;14.85
2003;1;North;1300-1700m;Cropland;13.04
2003;1;East;1300-1700m;Cropland;13.39
2003;1;South;1300-1700m;Cropland;12.13
2003;1;West;1300-1700m;Cropland;11.79
2003;1;Flat;1300-1700m;Cropland;13.55
2003;1;North;1300-1700m;Grassland;11.09
2003;1;East;1300-1700m;Grassland;10.09
2003;1;South;1300-1700m;Grassland;12.85
2003;1;West;1300-1700m;Grassland;10.57
2003;1;Flat;1300-1700m;Grassland;12.97
2003;1;East;1300-1700m;Shrubland_Savanna;13.11
2003;1;East;1300-1700m;Forest;10.79
2003;1;South;1300-1700m;Forest;10.45
2003;1;East;1700-2100m;Cropland;10.37
2003;1;North;1700-2100m;Grassland;4.95
2003;1;East;1700-2100m;Grassland;5.36
2003;1;South;1700-2100m;Grassland;11.57
2003;1;West;1700-2100m;Grassland;6.03
2003;2;North;900-1300m;Cropland;11.65
2003;2;East;900-1300m;Cropland;12.65
2003;2;South;900-1300m;Cropland;11.27
2003;2;West;900-1300m;Cropland;10.59
2003;2;Flat;900-1300m;Cropland;12.03
2003;2;North;900-1300m;Grassland;10.86
2003;2;East;900-1300m;Grassland;11.83
2003;2;South;900-1300m;Grassland;9.67
2003;2;West;900-1300m;Grassland;9.85
2003;2;Flat;900-1300m;Grassland;10.64
2003;2;North;900-1300m;Urban;10.11
2003;2;Flat;900-1300m;Urban;11.11
2003;2;North;1300-1700m;Cropland;10.25
2003;2;West;1300-1700m;Cropland;5.35
2003;2;Flat;1300-1700m;Cropland;13.73
2003;2;North;1300-1700m;Grassland;10.15
2003;2;East;1300-1700m;Grassland;1.29
2003;2;South;1300-1700m;Grassland;-0.29
2003;2;West;1300-1700m;Grassland;-0.89
2003;2;Flat;1300-1700m;Grassland;0.83
2003;2;North;1700-2100m;Cropland;-2.37
2003;2;East;1700-2100m;Cropland;-0.65
2003;2;South;1700-2100m;Cropland;-0.87
2003;2;West;1700-2100m;Cropland;-0.79
2003;2;North;1700-2100m;Grassland;-1.43
2003;2;East;1700-2100m;Grassland;-1.03
2003;2;South;1700-2100m;Grassland;1.01
2003;2;West;1700-2100m;Grassland;-1.11
2003;2;Flat;1700-2100m;Grassland;-1.55
2003;2;North;2100-2500m;Grassland;-2.71
2003;2;East;2100-2500m;Grassland;-9.69
2003;2;South;2100-2500m;Grassland;-3.99
2003;2;West;2100-2500m;Grassland;-3.99
2003;3;North;900-1300m;Cropland;24.69
2003;3;East;900-1300m;Cropland;26.01
2003;3;South;900-1300m;Cropland;27.69
2003;3;West;900-1300m;Cropland;26.1825
2003;3;Flat;900-1300m;Cropland;26.38217085
2003;3;Flat;900-1300m;Barren_Sparse_Vegetation;14.27
2003;3;North;900-1300m;Grassland;23.79
2003;3;East;900-1300m;Grassland;23.7
2003;3;South;900-1300m;Grassland;23.57
2003;3;West;900-1300m;Grassland;23.67
2003;3;Flat;900-1300m;Grassland;22.6475
2003;3;West;900-1300m;Shrubland_Savanna;23.41
2003;3;Flat;900-1300m;Shrubland_Savanna;8.04
2003;3;North;900-1300m;Urban;23.25
2003;3;East;900-1300m;Urban;20.07
2003;3;West;900-1300m;Urban;24.81
2003;3;Flat;900-1300m;Urban;21.03
2003;3;North;1300-1700m;Cropland;27.11
2003;3;East;1300-1700m;Cropland;29.95
2003;3;South;1300-1700m;Cropland;26.11
2003;3;West;1300-1700m;Cropland;25.59
2003;3;Flat;1300-1700m;Cropland;27.97
2003;3;North;1300-1700m;Grassland;23.25
2003;3;East;1300-1700m;Grassland;24.59
2003;3;South;1300-1700m;Grassland;25.59
2003;3;West;1300-1700m;Grassland;25.29
2003;3;Flat;1300-1700m;Grassland;26.39
2003;3;North;1700-2100m;Grassland;0.61
2003;3;East;1700-2100m;Grassland;-0.67
2003;3;South;1700-2100m;Grassland;0.69
2003;3;West;1700-2100m;Grassland;-0.67
2003;3;Flat;1700-2100m;Grassland;0.79
2003;3;North;2100-2500m;Grassland;0.07
2003;3;East;2100-2500m;Grassland;-0.57
2003;3;West;2100-2500m;Grassland;-0.27
2003;4;North;900-1300m;Cropland;28.21
2003;4;East;900-1300m;Cropland;28.93
2003;4;South;900-1300m;Cropland;30.285
2003;4;West;900-1300m;Cropland;30.27333333
2003;4;Flat;900-1300m;Cropland;29.807875
2003;4;Flat;900-1300m;Barren_Sparse_Vegetation;18.97
2003;4;North;900-1300m;Grassland;28.69
2003;4;East;900-1300m;Grassland;28.19166667
2003;4;South;900-1300m;Grassland;29.07307692
2003;4;West;900-1300m;Grassland;29.45333333
2003;4;Flat;900-1300m;Grassland;28.90333333
2003;4;North;900-1300m;Shrubland_Savanna;27.57
2003;4;West;900-1300m;Shrubland_Savanna;27.265
2003;4;Flat;900-1300m;Shrubland_Savanna;17.97
2003;4;North;900-1300m;Urban;29.09
2003;4;East;900-1300m;Urban;30.22
2003;4;West;900-1300m;Urban;29.885
2003;4;Flat;900-1300m;Urban;27.93
