year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;12.19
2003;1;East;900-1300m;Cropland;12.19
2003;1;South;900-1300m;Cropland;11.81
2003;1;West;900-1300m;Cropland;12.61
2003;1;Flat;900-1300m;Cropland;12.21116571
2003;1;North;900-1300m;Barren_Sparse_Vegetation;10.39
2003;1;Flat;900-1300m;Barren_Sparse_Vegetation;10.83
2003;1;North;900-1300m;Grassland;10.99
2003;1;East;900-1300m;Grassland;11.29
2003;1;South;900-1300m;Grassland;11.03
2003;1;West;900-1300m;Grassland;11.59
2003;1;Flat;900-1300m;Grassland;12.55
2003;1;North;1300-1700m;Cropland;8.61
2003;1;East;1300-1700m;Cropland;9.47
2003;1;Flat;1300-1700m;Cropland;10.11
2003;1;East;1300-1700m;Grassland;10.63
2003;1;South;1300-1700m;Grassland;11.43
2003;1;West;1300-1700m;Grassland;10.03
2003;1;Flat;1300-1700m;Grassland;10.87
2003;2;North;900-1300m;Cropland;12.75
2003;2;East;900-1300m;Cropland;11.13
2003;2;South;900-1300m;Cropland;13.93
2003;2;West;900-1300m;Cropland;12.51
2003;2;Flat;900-1300m;Cropland;13.53
2003;2;North;900-1300m;Barren_Sparse_Vegetation;11.07
2003;2;Flat;900-1300m;Barren_Sparse_Vegetation;4.47
2003;2;North;900-1300m;Grassland;14.07
2003;2;East;900-1300m;Grassland;12.93
2003;2;South;900-1300m;Grassland;12.89
2003;2;West;900-1300m;Grassland;11.87
2003;2;Flat;900-1300m;Grassland;10.89
2003;2;East;1300-1700m;Grassland;13.77
2003;2;South;1300-1700m;Grassland;14.73
2003;3;North;900-1300m;Cropland;29.34333333
2003;3;East;900-1300m;Cropland;28.94046566
2003;3;South;900-1300m;Cropland;28.425
2003;3;West;900-1300m;Cropland;28.1525997
2003;3;Flat;900-1300m;Cropland;29.11067981
2003;3;North;900-1300m;Barren_Sparse_Vegetation;25.43
2003;3;Flat;900-1300m;Barren_Sparse_Vegetation;23.13
2003;3;North;900-1300m;Grassland;26.37
2003;3;East;900-1300m;Grassland;26.59
2003;3;South;900-1300m;Grassland;28.635
2003;3;West;900-1300m;Grassland;28.215
2003;3;Flat;900-1300m;Grassland;26.81333333
2003;3;Flat;900-1300m;Urban;26.93
2003;3;North;1300-1700m;Cropland;26.21
2003;3;East;1300-1700m;Cropland;21.86
2003;3;Flat;1300-1700m;Cropland;21.84
2003;3;North;1300-1700m;Grassland;21.45
2003;3;East;1300-1700m;Grassland;23.61
2003;3;South;1300-1700m;Grassland;22.78
2003;3;West;1300-1700m;Grassland;23.18
2003;3;Flat;1300-1700m;Grassland;24.57
2003;4;North;900-1300m;Cropland;33.76
2003;4;East;900-1300m;Cropland;34.67357992
2003;4;South;900-1300m;Cropland;35.05714286
2003;4;West;900-1300m;Cropland;35.45728595
2003;4;Flat;900-1300m;Cropland;35.68308191
2003;4;North;900-1300m;Barren_Sparse_Vegetation;35.8
2003;4;Flat;900-1300m;Barren_Sparse_Vegetation;34.37
2003;4;North;900-1300m;Grassland;28.07
2003;4;East;900-1300m;Grassland;31.33
2003;4;South;900-1300m;Grassland;36.52
2003;4;West;900-1300m;Grassland;34.97
2003;4;Flat;900-1300m;Grassland;34.33823009
2003;4;Flat;900-1300m;Urban;36.47
2003;4;North;1300-1700m;Cropland;28.36
2003;4;East;1300-1700m;Cropland;34.81
2003;4;Flat;1300-1700m;Cropland;35.03
2003;4;North;1300-1700m;Grassland;23.91
2003;4;East;1300-1700m;Grassland;23.57
2003;4;South;1300-1700m;Grassland;31.77
2003;4;West;1300-1700m;Grassland;32.11
2003;4;Flat;1300-1700m;Grassland;37.31
2003;5;North;900-1300m;Cropland;39.15
2003;5;East;900-1300m;Cropland;39.64714286
2003;5;South;900-1300m;Cropland;40.39
2003;5;West;900-1300m;Cropland;40.2838764
2003;5;Flat;900-1300m;Cropland;40.56323238
2003;5;North;900-1300m;Barren_Sparse_Vegetation;40.115
2003;5;Flat;900-1300m;Barren_Sparse_Vegetation;34.85
2003;5;North;900-1300m;Grassland;39.66
2003;5;East;900-1300m;Grassland;38.65
2003;5;South;900-1300m;Grassland;40.84
2003;5;West;900-1300m;Grassland;40.05
2003;5;Flat;900-1300m;Grassland;39.93545455
2003;5;Flat;900-1300m;Urban;37.66
2003;5;North;1300-1700m;Cropland;36.87
2003;5;East;1300-1700m;Cropland;37.75
2003;5;Flat;1300-1700m;Cropland;38.44
2003;5;North;1300-1700m;Grassland;36.45
2003;5;East;1300-1700m;Grassland;36.73
2003;5;South;1300-1700m;Grassland;37.43
2003;5;West;1300-1700m;Grassland;36.2
2003;5;Flat;1300-1700m;Grassland;38.58
2003;6;North;900-1300m;Cropland;45.65666667
2003;6;East;900-1300m;Cropland;45.93460641
2003;6;South;900-1300m;Cropland;46.98333333
2003;6;West;900-1300m;Cropland;47.27333333
2003;6;Flat;900-1300m;Cropland;47.05742465
2003;6;North;900-1300m;Barren_Sparse_Vegetation;44
2003;6;Flat;900-1300m;Barren_Sparse_Vegetation;41.61
2003;6;North;900-1300m;Grassland;47.15
2003;6;East;900-1300m;Grassland;47.88
2003;6;South;900-1300m;Grassland;48.07
2003;6;West;900-1300m;Grassland;48.05666667
2003;6;Flat;900-1300m;Grassland;48.0526893
2003;6;Flat;900-1300m;Urban;44.23
2003;6;North;1300-1700m;Cropland;40.76
2003;6;East;1300-1700m;Cropland;44.82
2003;6;Flat;1300-1700m;Cropland;41.31
2003;6;North;1300-1700m;Grassland;45.13
2003;6;East;1300-1700m;Grassland;46.72
2003;6;South;1300-1700m;Grassland;46.19
2003;6;West;1300-1700m;Grassland;44.89
2003;6;Flat;1300-1700m;Grassland;45.83
2003;7;North;900-1300m;Cropland;49.64653297
2003;7;East;900-1300m;Cropland;49.97571429
2003;7;South;900-1300m;Cropland;50.65
2003;7;West;900-1300m;Cropland;51.6075
2003;7;Flat;900-1300m;Cropland;50.56066262
2003;7;North;900-1300m;Barren_Sparse_Vegetation;46.4
2003;7;Flat;900-1300m;Barren_Sparse_Vegetation;46.73
2003;7;North;900-1300m;Grassland;52.35
2003;7;East;900-1300m;Grassland;51.775
2003;7;South;900-1300m;Grassland;51.35
2003;7;West;900-1300m;Grassland;52.07
2003;7;Flat;900-1300m;Grassland;51.65312176
2003;7;Flat;900-1300m;Urban;47.27
2003;7;North;1300-1700m;Cropland;47.43
2003;7;East;1300-1700m;Cropland;49.19
2003;7;Flat;1300-1700m;Cropland;46.76
2003;7;North;1300-1700m;Grassland;50.43
2003;7;East;1300-1700m;Grassland;50.77
2003;7;South;1300-1700m;Grassland;50.61
2003;7;West;1300-1700m;Grassland;50.22
2003;7;Flat;1300-1700m;Grassland;49.4
2003;8;North;900-1300m;Cropland;48.05
2003;8;East;900-1300m;Cropland;48.20362768
2003;8;South;900-1300m;Cropland;48.64222222
2003;8;West;900-1300m;Cropland;49.102
2003;8;Flat;900-1300m;Cropland;48.81074929
2003;8;North;900-1300m;Barren_Sparse_Vegetation;46.11
2003;8;Flat;900-1300m;Barren_Sparse_Vegetation;46.54
2003;8;North;900-1300m;Grassland;48.46
2003;8;East;900-1300m;Grassland;48.51
2003;8;South;900-1300m;Grassland;48.95
2003;8;West;900-1300m;Grassland;49.16
2003;8;Flat;900-1300m;Grassland;48.84987013
2003;8;Flat;900-1300m;Urban;44.91
2003;8;North;1300-1700m;Cropland;45.66
2003;8;East;1300-1700m;Cropland;47.25
2003;8;Flat;1300-1700m;Cropland;46.55
2003;8;North;1300-1700m;Grassland;46.8
2003;8;East;1300-1700m;Grassland;46.75
2003;8;South;1300-1700m;Grassland;47.96
2003;8;West;1300-1700m;Grassland;47.25
2003;8;Flat;1300-1700m;Grassland;47.47
2003;9;North;900-1300m;Cropland;38.97
2003;9;East;900-1300m;Cropland;38.9725
2003;9;South;900-1300m;Cropland;38.895
2003;9;West;900-1300m;Cropland;39.58875
2003;9;Flat;900-1300m;Cropland;39.55225532
2003;9;North;900-1300m;Barren_Sparse_Vegetation;36.01
2003;9;Flat;900-1300m;Barren_Sparse_Vegetation;38.94
2003;9;North;900-1300m;Grassland;38.09
2003;9;East;900-1300m;Grassland;39.07666667
2003;9;South;900-1300m;Grassland;39.87
2003;9;West;900-1300m;Grassland;39.98
2003;9;Flat;900-1300m;Grassland;39.91666667
2003;9;Flat;900-1300m;Urban;36.78
2003;9;North;1300-1700m;Cropland;37.62
2003;9;East;1300-1700m;Cropland;37.77
2003;9;Flat;1300-1700m;Cropland;37.77
2003;9;North;1300-1700m;Grassland;36.1
2003;9;East;1300-1700m;Grassland;36.59
2003;9;South;1300-1700m;Grassland;36.64
2003;9;West;1300-1700m;Grassland;37.43
2003;9;Flat;1300-1700m;Grassland;40.85
2003;10;North;900-1300m;Cropland;32.735
2003;10;East;900-1300m;Cropland;33.46144101
2003;10;South;900-1300m;Cropland;34.29906667
2003;10;West;900-1300m;Cropland;34.52029326
2003;10;Flat;900-1300m;Cropland;33.94415136
2003;10;North;900-1300m;Barren_Sparse_Vegetation;29.79
2003;10;Flat;900-1300m;Barren_Sparse_Vegetation;33.01
2003;10;North;900-1300m;Grassland;32.43
2003;10;East;900-1300m;Grassland;34.01
2003;10;South;900-1300m;Grassland;33.83
2003;10;West;900-1300m;Grassland;33.78
2003;10;Flat;900-1300m;Grassland;34.01537159
2003;10;Flat;900-1300m;Urban;30.73
2003;10;North;1300-1700m;Cropland;31.23
2003;10;East;1300-1700m;Cropland;32.47
2003;10;Flat;1300-1700m;Cropland;32.33
2003;10;North;1300-1700m;Grassland;30.85
2003;10;East;1300-1700m;Grassland;30.97
2003;10;South;1300-1700m;Grassland;33.27
2003;10;West;1300-1700m;Grassland;31.81
2003;10;Flat;1300-1700m;Grassland;33.67
2003;11;North;900-1300m;Cropland;19.85
2003;11;East;900-1300m;Cropland;20.66285714
2003;11;South;900-1300m;Cropland;20.798
2003;11;West;900-1300m;Cropland;21.0325
2003;11;Flat;900-1300m;Cropland;20.36849978
2003;11;North;900-1300m;Barren_Sparse_Vegetation;17.885
2003;11;Flat;900-1300m;Barren_Sparse_Vegetation;23.53
2003;11;North;900-1300m;Grassland;20.85
2003;11;East;900-1300m;Grassland;21.84
2003;11;South;900-1300m;Grassland;21.026
2003;11;West;900-1300m;Grassland;21.465
2003;11;Flat;900-1300m;Grassland;21.46
2003;11;Flat;900-1300m;Urban;19.25
2003;11;North;1300-1700m;Cropland;17.98
2003;11;East;1300-1700m;Cropland;18.99
2003;11;Flat;1300-1700m;Cropland;20.31
2003;11;North;1300-1700m;Grassland;19.19
2003;11;East;1300-1700m;Grassland;19.96
2003;11;South;1300-1700m;Grassland;22.12
2003;11;West;1300-1700m;Grassland;20.41
2003;11;Flat;1300-1700m;Grassland;20.94
2003;12;North;900-1300m;Cropland;8.11
2003;12;East;900-1300m;Cropland;9.08
2003;12;South;900-1300m;Cropland;9.9325
2003;12;West;900-1300m;Cropland;9.61
2003;12;Flat;900-1300m;Cropland;9.063242658
2003;12;North;900-1300m;Barren_Sparse_Vegetation;9.7
2003;12;Flat;900-1300m;Barren_Sparse_Vegetation;2.81
2003;12;North;900-1300m;Grassland;7.29
2003;12;East;900-1300m;Grassland;9.99
2003;12;South;900-1300m;Grassland;11.13
2003;12;West;900-1300m;Grassland;6.55
2003;12;Flat;900-1300m;Grassland;8.29
2003;12;Flat;900-1300m;Urban;8.41
2003;12;North;1300-1700m;Cropland;9.59
2003;12;East;1300-1700m;Cropland;9.59
2003;12;Flat;1300-1700m;Cropland;9.59
2003;12;North;1300-1700m;Grassland;7.47
2003;12;East;1300-1700m;Grassland;10.11
2003;12;South;1300-1700m;Grassland;8.53
2003;12;West;1300-1700m;Grassland;8.03
2003;12;Flat;1300-1700m;Grassland;9.41
2004;1;East;900-1300m;Cropland;10.67
2004;1;South;900-1300m;Cropland;7.81
2004;1;West;900-1300m;Cropland;9.11
2004;1;Flat;900-1300m;Cropland;9.782342342
2004;1;Flat;900-1300m;Grassland;10.99
2004;1;West;900-1300m;Urban;5.99
2004;2;North;900-1300m;Cropland;17.09
2004;2;East;900-1300m;Cropland;16.44085156
2004;2;South;900-1300m;Cropland;15.3075
2004;2;West;900-1300m;Cropland;15.6
2004;2;Flat;900-1300m;Cropland;17.17221411
2004;2;North;900-1300m;Barren_Sparse_Vegetation;17.57
2004;2;Flat;900-1300m;Barren_Sparse_Vegetation;17.35
2004;2;North;900-1300m;Grassland;15.52
2004;2;East;900-1300m;Grassland;17.21219895
2004;2;South;900-1300m;Grassland;16.85
2004;2;West;900-1300m;Grassland;15.52
2004;2;Flat;900-1300m;Grassland;17.80464439
2004;2;South;900-1300m;Shrubland_Savanna;12.195
2004;2;West;900-1300m;Shrubland_Savanna;15.39
2004;2;West;900-1300m;Urban;15.93
2004;2;Flat;900-1300m;Urban;11.33
2004;2;North;1300-1700m;Cropland;14.57
2004;2;East;1300-1700m;Cropland;7.15
