year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;15.47
2003;1;East;900-1300m;Cropland;16.23
2003;1;South;900-1300m;Cropland;18.53
2003;1;West;900-1300m;Cropland;16.525
2003;1;Flat;900-1300m;Cropland;16.08545455
2003;1;North;900-1300m;Barren_Sparse_Vegetation;16.66
2003;1;East;900-1300m;Barren_Sparse_Vegetation;17.62
2003;1;South;900-1300m;Barren_Sparse_Vegetation;18.67
2003;1;West;900-1300m;Barren_Sparse_Vegetation;18.52
2003;1;Flat;900-1300m;Barren_Sparse_Vegetation;16.9225
2003;1;North;900-1300m;Grassland;15.695
2003;1;East;900-1300m;Grassland;16.97833333
2003;1;South;900-1300m;Grassland;17.47
2003;1;West;900-1300m;Grassland;17.34
2003;1;Flat;900-1300m;Grassland;16.53112698
2003;1;North;900-1300m;Shrubland_Savanna;13.01
2003;1;East;900-1300m;Shrubland_Savanna;14.27
2003;1;South;900-1300m;Shrubland_Savanna;21.21
2003;1;Flat;900-1300m;Shrubland_Savanna;17.17
2003;1;South;900-1300m;Urban;14.92
2003;1;West;900-1300m;Urban;15.33
2003;1;Flat;900-1300m;Urban;15.35
2003;1;North;1300-1700m;Cropland;15
2003;1;East;1300-1700m;Cropland;15.53
2003;1;South;1300-1700m;Cropland;14.55
2003;1;West;1300-1700m;Cropland;15.64
2003;1;Flat;1300-1700m;Cropland;15.61
2003;1;East;1300-1700m;Barren_Sparse_Vegetation;14.31
2003;1;South;1300-1700m;Barren_Sparse_Vegetation;14.83
2003;1;North;1300-1700m;Grassland;14.97666667
2003;1;East;1300-1700m;Grassland;14.17
2003;1;South;1300-1700m;Grassland;15.89
2003;1;West;1300-1700m;Grassland;15.73
2003;1;Flat;1300-1700m;Grassland;14.63
2003;1;North;1300-1700m;Shrubland_Savanna;14.91
2003;1;East;1300-1700m;Shrubland_Savanna;15
2003;1;South;1300-1700m;Shrubland_Savanna;19.65
2003;1;West;1300-1700m;Shrubland_Savanna;14.94
2003;1;North;1700-2100m;Grassland;11.39
2003;1;South;1700-2100m;Grassland;14.51
2003;1;West;1700-2100m;Grassland;5.11
2003;1;West;2100-2500m;Grassland;-0.21
2003;2;North;900-1300m;Cropland;19.475
2003;2;East;900-1300m;Cropland;12.79
2003;2;South;900-1300m;Cropland;21.38
2003;2;West;900-1300m;Cropland;20.49
2003;2;Flat;900-1300m;Cropland;19.43
2003;2;East;900-1300m;Barren_Sparse_Vegetation;16.45
2003;2;South;900-1300m;Barren_Sparse_Vegetation;16.05
2003;2;West;900-1300m;Barren_Sparse_Vegetation;15.75
2003;2;Flat;900-1300m;Barren_Sparse_Vegetation;15.68333333
2003;2;North;900-1300m;Grassland;17.985
2003;2;East;900-1300m;Grassland;14.67
2003;2;South;900-1300m;Grassland;16.11
2003;2;West;900-1300m;Grassland;15.97
2003;2;Flat;900-1300m;Grassland;15.45727273
2003;2;North;900-1300m;Shrubland_Savanna;14.64
2003;2;South;900-1300m;Shrubland_Savanna;16.71
2003;2;Flat;900-1300m;Shrubland_Savanna;15.25
2003;2;Flat;900-1300m;Urban;19.87
2003;2;North;1300-1700m;Cropland;19.15
2003;2;East;1300-1700m;Cropland;20.83
2003;2;West;1300-1700m;Cropland;20.45
