year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;16.64666667
2003;1;East;900-1300m;Cropland;16.77
2003;1;South;900-1300m;Cropland;16.13
2003;1;West;900-1300m;Cropland;16.45
2003;1;Flat;900-1300m;Cropland;17.14576923
2003;1;Flat;900-1300m;Barren_Sparse_Vegetation;15.73
2003;1;North;900-1300m;Grassland;15.355
2003;1;East;900-1300m;Grassland;15.65011834
2003;1;South;900-1300m;Grassland;16.14
2003;1;West;900-1300m;Grassland;15.598
2003;1;Flat;900-1300m;Grassland;15.53240504
2003;1;North;900-1300m;Shrubland_Savanna;15.82
2003;1;East;900-1300m;Shrubland_Savanna;17.41
2003;1;South;900-1300m;Shrubland_Savanna;14.91
2003;1;West;900-1300m;Shrubland_Savanna;16.99
2003;1;Flat;900-1300m;Shrubland_Savanna;14.79
2003;1;East;900-1300m;Urban;14.84
2003;1;Flat;900-1300m;Urban;16.71
2003;1;North;1300-1700m;Cropland;15.16
2003;1;East;1300-1700m;Cropland;15.12
2003;1;West;1300-1700m;Cropland;16.17
2003;1;Flat;1300-1700m;Cropland;15.15
2003;1;North;1300-1700m;Grassland;14.09727273
2003;1;East;1300-1700m;Grassland;13.83
2003;1;South;1300-1700m;Grassland;15.715
2003;1;West;1300-1700m;Grassland;15.67
2003;1;Flat;1300-1700m;Grassland;15.59333333
2003;1;North;1300-1700m;Shrubland_Savanna;13.71
2003;1;East;1300-1700m;Shrubland_Savanna;15.32
2003;1;South;1300-1700m;Shrubland_Savanna;16.65
2003;1;West;1300-1700m;Shrubland_Savanna;15.515
2003;1;Flat;1300-1700m;Shrubland_Savanna;14.79
2003;1;North;1700-2100m;Grassland;12.41
2003;1;East;1700-2100m;Grassland;0.83
2003;1;West;1700-2100m;Grassland;5.36
2003;1;Flat;1700-2100m;Grassland;0.93
2003;1;West;2100-2500m;Grassland;1.29
2003;2;North;900-1300m;Cropland;11.97
2003;2;East;900-1300m;Cropland;1.75
2003;2;West;900-1300m;Cropland;10.49
2003;2;Flat;900-1300m;Cropland;11.43
2003;2;North;900-1300m;Grassland;15.27
2003;2;East;900-1300m;Grassland;14.71
2003;2;South;900-1300m;Grassland;13.93
2003;2;West;900-1300m;Grassland;15.37
2003;2;Flat;900-1300m;Grassland;14.96565632
2003;2;North;900-1300m;Shrubland_Savanna;15.57
2003;2;South;900-1300m;Shrubland_Savanna;15.53
2003;2;West;900-1300m;Shrubland_Savanna;12.19
2003;2;Flat;900-1300m;Shrubland_Savanna;15.55
2003;2;Flat;900-1300m;Urban;11.63
2003;2;North;1300-1700m;Cropland;0.19
2003;2;East;1300-1700m;Cropland;0.19
2003;2;West;1300-1700m;Cropland;0.59
2003;2;Flat;1300-1700m;Cropland;1.02
2003;2;North;1300-1700m;Grassland;13.68375
2003;2;East;1300-1700m;Grassland;13.71
2003;2;South;1300-1700m;Grassland;14.15
2003;2;West;1300-1700m;Grassland;14.55
2003;2;Flat;1300-1700m;Grassland;13.95181818
2003;2;North;1300-1700m;Shrubland_Savanna;14.07
2003;2;East;1300-1700m;Shrubland_Savanna;15.11
2003;2;South;1300-1700m;Shrubland_Savanna;14.53
2003;2;West;1300-1700m;Shrubland_Savanna;13.83
2003;2;Flat;1300-1700m;Shrubland_Savanna;14.75
2003;2;North;1700-2100m;Grassland;11.61
2003;2;East;1700-2100m;Grassland;11.75
2003;2;West;1700-2100m;Grassland;11.56
2003;2;Flat;1700-2100m;Grassland;11.15
2003;3;North;900-1300m;Cropland;26.31
2003;3;East;900-1300m;Cropland;26.21
2003;3;South;900-1300m;Cropland;25.53
2003;3;West;900-1300m;Cropland;26.07
2003;3;Flat;900-1300m;Cropland;27.87561404
2003;3;South;900-1300m;Barren_Sparse_Vegetation;29.97
2003;3;Flat;900-1300m;Barren_Sparse_Vegetation;26.65
2003;3;North;900-1300m;Grassland;24.07
2003;3;East;900-1300m;Grassland;25.23
2003;3;South;900-1300m;Grassland;25.44222482
2003;3;West;900-1300m;Grassland;21.42
2003;3;Flat;900-1300m;Grassland;24.17380952
2003;3;North;900-1300m;Shrubland_Savanna;26.57
2003;3;East;900-1300m;Shrubland_Savanna;26.03
2003;3;South;900-1300m;Shrubland_Savanna;18.79
2003;3;West;900-1300m;Shrubland_Savanna;25.1
2003;3;Flat;900-1300m;Shrubland_Savanna;21.84
2003;3;East;900-1300m;Urban;27.05
2003;3;Flat;900-1300m;Urban;23.33
2003;3;North;1300-1700m;Cropland;25.13
2003;3;East;1300-1700m;Cropland;25.49
2003;3;West;1300-1700m;Cropland;14.69
2003;3;Flat;1300-1700m;Cropland;25.81
2003;3;North;1300-1700m;Grassland;22.93666667
2003;3;East;1300-1700m;Grassland;22.97
2003;3;South;1300-1700m;Grassland;26.67
2003;3;West;1300-1700m;Grassland;24.51
2003;3;Flat;1300-1700m;Grassland;23.09
2003;3;North;1300-1700m;Shrubland_Savanna;25.39
2003;3;East;1300-1700m;Shrubland_Savanna;16.99
2003;3;South;1300-1700m;Shrubland_Savanna;25.26
2003;3;West;1300-1700m;Shrubland_Savanna;24.45
2003;3;Flat;1300-1700m;Shrubland_Savanna;24.91
2003;3;North;1700-2100m;Grassland;2.45
2003;3;East;1700-2100m;Grassland;1.67
2003;3;South;1700-2100m;Grassland;1.36
2003;3;West;1700-2100m;Grassland;2.39
2003;3;Flat;1700-2100m;Grassland;1.59
2003;3;West;2100-2500m;Grassland;1.65
2003;4;North;900-1300m;Cropland;30.64
2003;4;East;900-1300m;Cropland;30.39
2003;4;South;900-1300m;Cropland;31.38
2003;4;West;900-1300m;Cropland;30.27
2003;4;Flat;900-1300m;Cropland;32.70727273
2003;4;South;900-1300m;Barren_Sparse_Vegetation;34.96
2003;4;Flat;900-1300m;Barren_Sparse_Vegetation;34.34
2003;4;North;900-1300m;Grassland;30.05
2003;4;East;900-1300m;Grassland;31.79666667
2003;4;South;900-1300m;Grassland;32.65666667
2003;4;West;900-1300m;Grassland;30.4
2003;4;Flat;900-1300m;Grassland;30.97555556
2003;4;North;900-1300m;Shrubland_Savanna;27.68
2003;4;East;900-1300m;Shrubland_Savanna;31.47
2003;4;South;900-1300m;Shrubland_Savanna;27
2003;4;West;900-1300m;Shrubland_Savanna;31.135
2003;4;Flat;900-1300m;Shrubland_Savanna;30.21
2003;4;East;900-1300m;Urban;29.33
2003;4;Flat;900-1300m;Urban;30.57
2003;4;North;1300-1700m;Cropland;29.73
2003;4;East;1300-1700m;Cropland;30.79
2003;4;West;1300-1700m;Cropland;28.73
2003;4;Flat;1300-1700m;Cropland;29.26
2003;4;North;1300-1700m;Grassland;27.33888889
2003;4;East;1300-1700m;Grassland;29.0275
2003;4;South;1300-1700m;Grassland;27.93494603
2003;4;West;1300-1700m;Grassland;27.69
2003;4;Flat;1300-1700m;Grassland;27.52428571
2003;4;North;1300-1700m;Shrubland_Savanna;27.55
2003;4;East;1300-1700m;Shrubland_Savanna;29.33
2003;4;South;1300-1700m;Shrubland_Savanna;26.325
2003;4;West;1300-1700m;Shrubland_Savanna;26.06
2003;4;Flat;1300-1700m;Shrubland_Savanna;26.72
2003;4;North;1700-2100m;Grassland;26.715
2003;4;East;1700-2100m;Grassland;26.49
2003;4;South;1700-2100m;Grassland;26.67
2003;4;West;1700-2100m;Grassland;26.29
2003;4;Flat;1700-2100m;Grassland;27.17
2003;4;South;2100-2500m;Grassland;27.83
2003;4;West;2100-2500m;Grassland;27.85
2003;5;North;900-1300m;Cropland;38.48
2003;5;East;900-1300m;Cropland;38.59
2003;5;South;900-1300m;Cropland;40.295
2003;5;West;900-1300m;Cropland;39.19
2003;5;Flat;900-1300m;Cropland;38.81243243
2003;5;South;900-1300m;Barren_Sparse_Vegetation;43.1
2003;5;Flat;900-1300m;Barren_Sparse_Vegetation;43.54
2003;5;North;900-1300m;Grassland;40.59325228
2003;5;East;900-1300m;Grassland;39.55
2003;5;South;900-1300m;Grassland;41.55
2003;5;West;900-1300m;Grassland;40.84
2003;5;Flat;900-1300m;Grassland;40.65684211
2003;5;North;900-1300m;Shrubland_Savanna;39.95
2003;5;East;900-1300m;Shrubland_Savanna;40.4
2003;5;South;900-1300m;Shrubland_Savanna;39.38
2003;5;West;900-1300m;Shrubland_Savanna;40.29
2003;5;Flat;900-1300m;Shrubland_Savanna;39.96
2003;5;East;900-1300m;Urban;37.69
2003;5;Flat;900-1300m;Urban;37.63
2003;5;North;1300-1700m;Cropland;38.61
2003;5;East;1300-1700m;Cropland;36.79
2003;5;West;1300-1700m;Cropland;36.93
2003;5;Flat;1300-1700m;Cropland;39.14
2003;5;North;1300-1700m;Grassland;37.72132981
2003;5;East;1300-1700m;Grassland;37.61333333
2003;5;South;1300-1700m;Grassland;38.98
2003;5;West;1300-1700m;Grassland;38.522
2003;5;Flat;1300-1700m;Grassland;38.46111111
2003;5;North;1300-1700m;Shrubland_Savanna;38.17
2003;5;East;1300-1700m;Shrubland_Savanna;38.415
2003;5;South;1300-1700m;Shrubland_Savanna;37.695
2003;5;West;1300-1700m;Shrubland_Savanna;38.975
2003;5;Flat;1300-1700m;Shrubland_Savanna;38.95
2003;5;South;1700-2100m;Cropland;30.19
2003;5;North;1700-2100m;Grassland;35.78
2003;5;East;1700-2100m;Grassland;34.59
2003;5;South;1700-2100m;Grassland;36.85
2003;5;West;1700-2100m;Grassland;36.27667829
2003;5;Flat;1700-2100m;Grassland;35.46333333
2003;5;North;2100-2500m;Grassland;34.67
2003;5;East;2100-2500m;Grassland;32.485
2003;5;South;2100-2500m;Grassland;33.4
2003;5;West;2100-2500m;Grassland;32.85
2003;5;Flat;2100-2500m;Grassland;29.61
2003;6;North;900-1300m;Cropland;41.73
2003;6;East;900-1300m;Cropland;42.98
2003;6;South;900-1300m;Cropland;46.91
2003;6;West;900-1300m;Cropland;42.29
2003;6;Flat;900-1300m;Cropland;43.54714286
2003;6;South;900-1300m;Barren_Sparse_Vegetation;46.99
2003;6;Flat;900-1300m;Barren_Sparse_Vegetation;47.65
2003;6;North;900-1300m;Grassland;45.48
2003;6;East;900-1300m;Grassland;46.42
2003;6;South;900-1300m;Grassland;46.72
2003;6;West;900-1300m;Grassland;44.27
2003;6;Flat;900-1300m;Grassland;45.92775766
2003;6;North;900-1300m;Shrubland_Savanna;39.91
2003;6;East;900-1300m;Shrubland_Savanna;40.69
2003;6;South;900-1300m;Shrubland_Savanna;43.43
2003;6;West;900-1300m;Shrubland_Savanna;41.19
2003;6;Flat;900-1300m;Shrubland_Savanna;43.83
2003;6;East;900-1300m;Urban;46.92
2003;6;Flat;900-1300m;Urban;41.86
2003;6;North;1300-1700m;Cropland;39.875
2003;6;East;1300-1700m;Cropland;39.59
2003;6;West;1300-1700m;Cropland;39.41
2003;6;Flat;1300-1700m;Cropland;40.41
2003;6;North;1300-1700m;Grassland;40.24
2003;6;East;1300-1700m;Grassland;40.97
2003;6;South;1300-1700m;Grassland;41.33785421
2003;6;West;1300-1700m;Grassland;40.77664487
2003;6;Flat;1300-1700m;Grassland;40.91517442
2003;6;North;1300-1700m;Shrubland_Savanna;39.21
2003;6;East;1300-1700m;Shrubland_Savanna;41.755
2003;6;South;1300-1700m;Shrubland_Savanna;40.61
2003;6;West;1300-1700m;Shrubland_Savanna;40.74
2003;6;Flat;1300-1700m;Shrubland_Savanna;40.64
2003;6;South;1700-2100m;Cropland;32.36
2003;6;North;1700-2100m;Grassland;38.06181818
2003;6;East;1700-2100m;Grassland;36.91
2003;6;South;1700-2100m;Grassland;38.14
2003;6;West;1700-2100m;Grassland;38.35502203
2003;6;Flat;1700-2100m;Grassland;38.08666667
2003;6;North;2100-2500m;Grassland;38.47
2003;6;East;2100-2500m;Grassland;35.005
2003;6;South;2100-2500m;Grassland;38.17
2003;6;West;2100-2500m;Grassland;33.96
2003;6;South;2500-2900m;Barren_Sparse_Vegetation;27.71
2003;6;South;2500-2900m;Grassland;31.57
2003;7;North;900-1300m;Cropland;46.14
2003;7;East;900-1300m;Cropland;47.15
2003;7;South;900-1300m;Cropland;49.615
2003;7;West;900-1300m;Cropland;45.67
2003;7;Flat;900-1300m;Cropland;46.46713204
2003;7;South;900-1300m;Barren_Sparse_Vegetation;47.5
2003;7;Flat;900-1300m;Barren_Sparse_Vegetation;49.3
2003;7;North;900-1300m;Grassland;47.59
2003;7;East;900-1300m;Grassland;49.02
2003;7;South;900-1300m;Grassland;48.66775076
2003;7;West;900-1300m;Grassland;47.27727853
2003;7;Flat;900-1300m;Grassland;47.90411765
2003;7;North;900-1300m;Shrubland_Savanna;43.73
2003;7;East;900-1300m;Shrubland_Savanna;45.35
2003;7;South;900-1300m;Shrubland_Savanna;45
2003;7;West;900-1300m;Shrubland_Savanna;45.17
2003;7;Flat;900-1300m;Shrubland_Savanna;46.25
2003;7;East;900-1300m;Urban;48.87
2003;7;Flat;900-1300m;Urban;45.15
2003;7;North;1300-1700m;Cropland;43.4
2003;7;East;1300-1700m;Cropland;42.95
2003;7;West;1300-1700m;Cropland;43.57
2003;7;Flat;1300-1700m;Cropland;44.61
2003;7;North;1300-1700m;Grassland;43.4
2003;7;East;1300-1700m;Grassland;44.4
2003;7;South;1300-1700m;Grassland;44.71
2003;7;West;1300-1700m;Grassland;44.41
2003;7;Flat;1300-1700m;Grassland;44.353
2003;7;North;1300-1700m;Shrubland_Savanna;43.13
2003;7;East;1300-1700m;Shrubland_Savanna;45.16
2003;7;South;1300-1700m;Shrubland_Savanna;45.045
2003;7;West;1300-1700m;Shrubland_Savanna;44.37
2003;7;Flat;1300-1700m;Shrubland_Savanna;44.45
2003;7;South;1700-2100m;Cropland;38.27
2003;7;North;1700-2100m;Grassland;42.05
2003;7;East;1700-2100m;Grassland;40.23
2003;7;South;1700-2100m;Grassland;42.7975
2003;7;West;1700-2100m;Grassland;42.39
2003;7;Flat;1700-2100m;Grassland;42.49
2003;7;North;2100-2500m;Grassland;41.54
2003;7;East;2100-2500m;Grassland;39.465
2003;7;South;2100-2500m;Grassland;40.25
2003;7;West;2100-2500m;Grassland;40.5
2003;7;South;2500-2900m;Barren_Sparse_Vegetation;33.31
2003;7;South;2900-3400m;Barren_Sparse_Vegetation;41.53
2003;8;North;900-1300m;Cropland;45.85
2003;8;East;900-1300m;Cropland;46.65
2003;8;South;900-1300m;Cropland;47.87
2003;8;West;900-1300m;Cropland;45.71
2003;8;Flat;900-1300m;Cropland;45.93803367
2003;8;South;900-1300m;Barren_Sparse_Vegetation;47.13
2003;8;Flat;900-1300m;Barren_Sparse_Vegetation;47.81
2003;8;North;900-1300m;Grassland;46.70581665
2003;8;East;900-1300m;Grassland;47.46442036
2003;8;South;900-1300m;Grassland;47.91
2003;8;West;900-1300m;Grassland;46.73333333
2003;8;Flat;900-1300m;Grassland;47.34916667
2003;8;North;900-1300m;Shrubland_Savanna;44.13
2003;8;East;900-1300m;Shrubland_Savanna;43.37
2003;8;South;900-1300m;Shrubland_Savanna;45.51
2003;8;West;900-1300m;Shrubland_Savanna;45.165
2003;8;Flat;900-1300m;Shrubland_Savanna;46.13
2003;8;East;900-1300m;Urban;46.81
2003;8;Flat;900-1300m;Urban;43.37
2003;8;North;1300-1700m;Cropland;42.605
2003;8;East;1300-1700m;Cropland;42.45
2003;8;West;1300-1700m;Cropland;43.06
2003;8;Flat;1300-1700m;Cropland;43.53
2003;8;North;1300-1700m;Grassland;42.92333333
2003;8;East;1300-1700m;Grassland;43.57333333
2003;8;South;1300-1700m;Grassland;44.36023015
2003;8;West;1300-1700m;Grassland;43.79625
2003;8;Flat;1300-1700m;Grassland;43.839
2003;8;North;1300-1700m;Shrubland_Savanna;43.17
2003;8;East;1300-1700m;Shrubland_Savanna;43.7
2003;8;South;1300-1700m;Shrubland_Savanna;43.805
2003;8;West;1300-1700m;Shrubland_Savanna;43.58
2003;8;Flat;1300-1700m;Shrubland_Savanna;43.88
2003;8;South;1700-2100m;Cropland;37.57
2003;8;North;1700-2100m;Grassland;41.32
2003;8;East;1700-2100m;Grassland;39.03
2003;8;South;1700-2100m;Grassland;42.01
2003;8;West;1700-2100m;Grassland;41.87
2003;8;Flat;1700-2100m;Grassland;41.55
2003;8;North;2100-2500m;Grassland;39.54
2003;8;East;2100-2500m;Grassland;36.955
2003;8;South;2100-2500m;Grassland;38.59
2003;8;West;2100-2500m;Grassland;40.09
2003;8;Flat;2100-2500m;Grassland;38.73
2003;8;South;2500-2900m;Grassland;36.25
2003;8;South;2900-3400m;Barren_Sparse_Vegetation;37.97
2003;9;North;900-1300m;Cropland;39.03
2003;9;East;900-1300m;Cropland;40.28
2003;9;South;900-1300m;Cropland;43.12
2003;9;West;900-1300m;Cropland;38.6
2003;9;Flat;900-1300m;Cropland;41.71779269
