year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;17.25
2003;1;East;900-1300m;Cropland;15.52
2003;1;South;900-1300m;Cropland;15.85
2003;1;West;900-1300m;Cropland;16.48
2003;1;Flat;900-1300m;Cropland;16.17392857
2003;1;Flat;900-1300m;Barren_Sparse_Vegetation;14.53666667
2003;1;North;900-1300m;Grassland;16.02428571
2003;1;East;900-1300m;Grassland;15.02209057
2003;1;South;900-1300m;Grassland;15.0275
2003;1;West;900-1300m;Grassland;15.34
2003;1;Flat;900-1300m;Grassland;15.938
2003;1;North;900-1300m;Shrubland_Savanna;13.73
2003;1;East;900-1300m;Shrubland_Savanna;15.03
2003;1;South;900-1300m;Shrubland_Savanna;14.57
2003;1;West;900-1300m;Shrubland_Savanna;14.66
2003;1;Flat;900-1300m;Shrubland_Savanna;15.41
2003;1;North;900-1300m;Urban;15.91
2003;1;East;900-1300m;Urban;15.35
2003;1;Flat;900-1300m;Urban;13.55
2003;1;North;1300-1700m;Cropland;13.25
2003;1;East;1300-1700m;Cropland;15.08
2003;1;Flat;1300-1700m;Cropland;13.75
2003;1;North;1300-1700m;Grassland;13.355
2003;1;East;1300-1700m;Grassland;13.27
2003;1;South;1300-1700m;Grassland;13.638
2003;1;West;1300-1700m;Grassland;13.29
2003;1;Flat;1300-1700m;Grassland;14.215
2003;1;West;1300-1700m;Shrubland_Savanna;12.55
2003;1;Flat;1300-1700m;Shrubland_Savanna;12.23
2003;1;North;1700-2100m;Cropland;7.29
2003;1;North;1700-2100m;Grassland;11.65
2003;1;East;1700-2100m;Grassland;10.33
2003;1;South;1700-2100m;Grassland;10.61
2003;1;Flat;1700-2100m;Grassland;11.45
2003;2;North;900-1300m;Cropland;15.47
2003;2;East;900-1300m;Cropland;15.3
2003;2;South;900-1300m;Cropland;15.55
2003;2;West;900-1300m;Cropland;11.13
2003;2;Flat;900-1300m;Cropland;15.41
2003;2;Flat;900-1300m;Barren_Sparse_Vegetation;13.41
2003;2;North;900-1300m;Grassland;15.515
2003;2;East;900-1300m;Grassland;14.16555556
2003;2;South;900-1300m;Grassland;13.65
2003;2;West;900-1300m;Grassland;12.91
2003;2;Flat;900-1300m;Grassland;14.43347826
2003;2;North;900-1300m;Shrubland_Savanna;12.45
2003;2;East;900-1300m;Shrubland_Savanna;12.69
2003;2;South;900-1300m;Shrubland_Savanna;13.59
2003;2;Flat;900-1300m;Shrubland_Savanna;13.63
2003;2;North;900-1300m;Urban;17.15
2003;2;East;900-1300m;Urban;14.21
2003;2;Flat;900-1300m;Urban;15.3
2003;2;North;1300-1700m;Cropland;14.79
2003;2;East;1300-1700m;Cropland;13.93
2003;2;South;1300-1700m;Cropland;12.29
2003;2;West;1300-1700m;Cropland;10.98
2003;2;Flat;1300-1700m;Cropland;12.85
2003;2;North;1300-1700m;Grassland;12.98
2003;2;East;1300-1700m;Grassland;12.79
2003;2;South;1300-1700m;Grassland;12.278
2003;2;West;1300-1700m;Grassland;12.11
2003;2;Flat;1300-1700m;Grassland;13.43
2003;2;North;1300-1700m;Shrubland_Savanna;11.79
2003;2;North;1700-2100m;Cropland;-0.91
2003;2;East;1700-2100m;Cropland;-0.89
2003;2;West;1700-2100m;Cropland;-0.91
2003;2;North;1700-2100m;Grassland;-6.89
2003;2;East;1700-2100m;Grassland;-4.35
2003;2;South;1700-2100m;Grassland;-0.99
2003;2;West;1700-2100m;Grassland;-1.17
2003;2;Flat;1700-2100m;Grassland;-0.85
2003;2;North;2100-2500m;Grassland;-2.71
2003;2;East;2100-2500m;Grassland;-4.67
2003;2;South;2100-2500m;Grassland;-6.23
2003;2;West;2100-2500m;Grassland;-3.17
2003;3;North;900-1300m;Cropland;26.825
2003;3;East;900-1300m;Cropland;27.45
2003;3;South;900-1300m;Cropland;26.27
2003;3;West;900-1300m;Cropland;26.13
2003;3;Flat;900-1300m;Cropland;27.37234361
2003;3;Flat;900-1300m;Barren_Sparse_Vegetation;29.45
2003;3;North;900-1300m;Grassland;25.21
2003;3;East;900-1300m;Grassland;26.09859551
2003;3;South;900-1300m;Grassland;26.47
2003;3;West;900-1300m;Grassland;25.27
2003;3;Flat;900-1300m;Grassland;26.12037968
2003;3;North;900-1300m;Shrubland_Savanna;26.81
2003;3;East;900-1300m;Shrubland_Savanna;1.01
2003;3;South;900-1300m;Shrubland_Savanna;1.99
2003;3;West;900-1300m;Shrubland_Savanna;25.49
2003;3;Flat;900-1300m;Shrubland_Savanna;26.22
2003;3;East;900-1300m;Urban;24.54
2003;3;Flat;900-1300m;Urban;23.04
2003;3;North;1300-1700m;Cropland;25.71
2003;3;East;1300-1700m;Cropland;25.71
2003;3;South;1300-1700m;Cropland;25.35
2003;3;Flat;1300-1700m;Cropland;26.15
2003;3;North;1300-1700m;Grassland;27.12
2003;3;East;1300-1700m;Grassland;25.75
2003;3;South;1300-1700m;Grassland;24.94
2003;3;West;1300-1700m;Grassland;24.91
2003;3;Flat;1300-1700m;Grassland;26.81
2003;3;North;1300-1700m;Shrubland_Savanna;24.59
2003;3;North;1700-2100m;Grassland;0.61
2003;3;East;1700-2100m;Grassland;0.25
2003;3;South;1700-2100m;Grassland;-0.05
2003;3;West;1700-2100m;Grassland;0.21
2003;3;Flat;1700-2100m;Grassland;0.27
2003;3;North;2100-2500m;Grassland;0.74
2003;4;North;900-1300m;Cropland;30.97
2003;4;East;900-1300m;Cropland;31.021
2003;4;South;900-1300m;Cropland;30.415
2003;4;West;900-1300m;Cropland;30.08
2003;4;Flat;900-1300m;Cropland;32.5551065
2003;4;North;900-1300m;Barren_Sparse_Vegetation;17.91
2003;4;Flat;900-1300m;Barren_Sparse_Vegetation;32.57
2003;4;North;900-1300m;Grassland;30.05
2003;4;East;900-1300m;Grassland;29.15444444
2003;4;South;900-1300m;Grassland;29.52949873
2003;4;West;900-1300m;Grassland;30.47353321
2003;4;Flat;900-1300m;Grassland;31.68272085
2003;4;North;900-1300m;Shrubland_Savanna;31.14
2003;4;East;900-1300m;Shrubland_Savanna;33.05
2003;4;South;900-1300m;Shrubland_Savanna;30.96
2003;4;West;900-1300m;Shrubland_Savanna;28.05
2003;4;Flat;900-1300m;Shrubland_Savanna;33.715
2003;4;North;900-1300m;Urban;30.01
2003;4;East;900-1300m;Urban;27.69
2003;4;Flat;900-1300m;Urban;28.225
2003;4;North;1300-1700m;Cropland;28.63
2003;4;East;1300-1700m;Cropland;28.81
2003;4;South;1300-1700m;Cropland;31.73
2003;4;West;1300-1700m;Cropland;30.95
2003;4;Flat;1300-1700m;Cropland;29.91
2003;4;North;1300-1700m;Grassland;27.04571429
2003;4;East;1300-1700m;Grassland;27.66947899
2003;4;South;1300-1700m;Grassland;27.16641779
2003;4;West;1300-1700m;Grassland;27.34026846
2003;4;Flat;1300-1700m;Grassland;27.65523573
2003;4;North;1300-1700m;Shrubland_Savanna;26.185
2003;4;East;1300-1700m;Shrubland_Savanna;31.59
2003;4;South;1300-1700m;Shrubland_Savanna;24.79
2003;4;West;1300-1700m;Shrubland_Savanna;26.32
2003;4;Flat;1300-1700m;Shrubland_Savanna;27.91
2003;4;North;1700-2100m;Cropland;28.47
2003;4;East;1700-2100m;Cropland;22.99
2003;4;West;1700-2100m;Cropland;23.09
2003;4;North;1700-2100m;Grassland;25.72
2003;4;East;1700-2100m;Grassland;26.31
2003;4;South;1700-2100m;Grassland;27.83
2003;4;West;1700-2100m;Grassland;26.41
2003;4;Flat;1700-2100m;Grassland;25.79
2003;4;South;2100-2500m;Grassland;0.53
2003;4;Flat;2100-2500m;Grassland;0.29
2003;5;North;900-1300m;Cropland;38.31
2003;5;East;900-1300m;Cropland;37.35333333
2003;5;South;900-1300m;Cropland;39.12
2003;5;West;900-1300m;Cropland;39.03
2003;5;Flat;900-1300m;Cropland;38.43786766
2003;5;North;900-1300m;Barren_Sparse_Vegetation;25.33
2003;5;Flat;900-1300m;Barren_Sparse_Vegetation;40.71
2003;5;North;900-1300m;Grassland;39.8425
2003;5;East;900-1300m;Grassland;38.5225
2003;5;South;900-1300m;Grassland;40.16
2003;5;West;900-1300m;Grassland;40.40833333
2003;5;Flat;900-1300m;Grassland;41.55662277
2003;5;North;900-1300m;Shrubland_Savanna;42.295
2003;5;East;900-1300m;Shrubland_Savanna;40.71
2003;5;South;900-1300m;Shrubland_Savanna;41.2
2003;5;West;900-1300m;Shrubland_Savanna;40.25
2003;5;Flat;900-1300m;Shrubland_Savanna;41.35963415
2003;5;North;900-1300m;Urban;39.21
2003;5;East;900-1300m;Urban;36.46
2003;5;Flat;900-1300m;Urban;37.27714286
2003;5;North;1300-1700m;Cropland;35.85
2003;5;East;1300-1700m;Cropland;35.91
2003;5;South;1300-1700m;Cropland;37.07
2003;5;West;1300-1700m;Cropland;36.89
2003;5;Flat;1300-1700m;Cropland;36.22
2003;5;North;1300-1700m;Grassland;36.56313216
2003;5;East;1300-1700m;Grassland;36.80425414
2003;5;South;1300-1700m;Grassland;37.585
2003;5;West;1300-1700m;Grassland;37.97643939
2003;5;Flat;1300-1700m;Grassland;37.90543783
2003;5;North;1300-1700m;Shrubland_Savanna;35.51
2003;5;East;1300-1700m;Shrubland_Savanna;38.24
2003;5;South;1300-1700m;Shrubland_Savanna;38.19
2003;5;West;1300-1700m;Shrubland_Savanna;38.56
2003;5;Flat;1300-1700m;Shrubland_Savanna;38.81
2003;5;North;1700-2100m;Cropland;32.05
2003;5;East;1700-2100m;Cropland;33.81
2003;5;South;1700-2100m;Cropland;31.57
2003;5;West;1700-2100m;Cropland;34.75
2003;5;Flat;1700-2100m;Cropland;32.05
2003;5;North;1700-2100m;Grassland;33.71
2003;5;East;1700-2100m;Grassland;34.084
2003;5;South;1700-2100m;Grassland;34.10574074
2003;5;West;1700-2100m;Grassland;34.33
2003;5;Flat;1700-2100m;Grassland;33.59
2003;5;North;2100-2500m;Grassland;31.29
2003;5;East;2100-2500m;Grassland;30.37
2003;5;South;2100-2500m;Grassland;27.42
2003;5;West;2100-2500m;Grassland;27.17
2003;5;Flat;2100-2500m;Grassland;29.79
2003;6;North;900-1300m;Cropland;45.87
2003;6;East;900-1300m;Cropland;46.52
2003;6;South;900-1300m;Cropland;45.82333333
2003;6;West;900-1300m;Cropland;45.51
2003;6;Flat;900-1300m;Cropland;43.92791667
2003;6;North;900-1300m;Barren_Sparse_Vegetation;33.42
2003;6;Flat;900-1300m;Barren_Sparse_Vegetation;47.55714286
2003;6;North;900-1300m;Grassland;46.32060397
2003;6;East;900-1300m;Grassland;45.27428571
2003;6;South;900-1300m;Grassland;45.4
2003;6;West;900-1300m;Grassland;46.56714286
2003;6;Flat;900-1300m;Grassland;48.56997509
2003;6;North;900-1300m;Shrubland_Savanna;48.785
2003;6;East;900-1300m;Shrubland_Savanna;48.18
2003;6;South;900-1300m;Shrubland_Savanna;47.15
2003;6;West;900-1300m;Shrubland_Savanna;46.67
2003;6;Flat;900-1300m;Shrubland_Savanna;47.29293423
2003;6;North;900-1300m;Urban;46.47
2003;6;East;900-1300m;Urban;41.41
2003;6;Flat;900-1300m;Urban;42.825
2003;6;North;1300-1700m;Cropland;40.02
2003;6;East;1300-1700m;Cropland;41.19
2003;6;South;1300-1700m;Cropland;38.85
2003;6;West;1300-1700m;Cropland;39.51
2003;6;Flat;1300-1700m;Cropland;39.03
2003;6;North;1300-1700m;Grassland;41.936
2003;6;East;1300-1700m;Grassland;42.30347826
2003;6;South;1300-1700m;Grassland;42.26838879
2003;6;West;1300-1700m;Grassland;42.40149901
2003;6;Flat;1300-1700m;Grassland;43.542466
2003;6;North;1300-1700m;Shrubland_Savanna;40.375
2003;6;East;1300-1700m;Shrubland_Savanna;46.12
2003;6;South;1300-1700m;Shrubland_Savanna;42.17
2003;6;West;1300-1700m;Shrubland_Savanna;45.49
2003;6;Flat;1300-1700m;Shrubland_Savanna;47.14
2003;6;North;1700-2100m;Cropland;34.76
2003;6;East;1700-2100m;Cropland;35.23
2003;6;South;1700-2100m;Cropland;33.87
2003;6;West;1700-2100m;Cropland;33.26
2003;6;Flat;1700-2100m;Cropland;33.43
2003;6;North;1700-2100m;Grassland;37.58333333
2003;6;East;1700-2100m;Grassland;37.274
2003;6;South;1700-2100m;Grassland;38.13866168
2003;6;West;1700-2100m;Grassland;38.22
2003;6;Flat;1700-2100m;Grassland;37.43
2003;6;North;2100-2500m;Grassland;35.79
2003;6;East;2100-2500m;Grassland;36.03
2003;6;South;2100-2500m;Grassland;35.57
2003;6;West;2100-2500m;Grassland;35.03
2003;6;Flat;2100-2500m;Grassland;37.59
2003;7;North;900-1300m;Cropland;49.13
2003;7;East;900-1300m;Cropland;49.93875
2003;7;South;900-1300m;Cropland;49.74
2003;7;West;900-1300m;Cropland;49.37
2003;7;Flat;900-1300m;Cropland;46.6891666
2003;7;North;900-1300m;Barren_Sparse_Vegetation;35.77
2003;7;Flat;900-1300m;Barren_Sparse_Vegetation;50.59666667
2003;7;North;900-1300m;Grassland;48.85
2003;7;East;900-1300m;Grassland;48.78333333
2003;7;South;900-1300m;Grassland;48.19333333
2003;7;West;900-1300m;Grassland;48.79348427
2003;7;Flat;900-1300m;Grassland;51.31794118
2003;7;North;900-1300m;Shrubland_Savanna;50.57
2003;7;East;900-1300m;Shrubland_Savanna;49.05
2003;7;South;900-1300m;Shrubland_Savanna;49.22
2003;7;West;900-1300m;Shrubland_Savanna;48.99
2003;7;Flat;900-1300m;Shrubland_Savanna;49.95833333
2003;7;North;900-1300m;Urban;48.61
2003;7;East;900-1300m;Urban;45.61
2003;7;Flat;900-1300m;Urban;45.682
2003;7;North;1300-1700m;Cropland;44.54
2003;7;East;1300-1700m;Cropland;46.25
2003;7;South;1300-1700m;Cropland;43.42
2003;7;West;1300-1700m;Cropland;43.83
2003;7;Flat;1300-1700m;Cropland;43.51
2003;7;North;1300-1700m;Grassland;45.44462025
2003;7;East;1300-1700m;Grassland;46.67857877
2003;7;South;1300-1700m;Grassland;46.59018981
2003;7;West;1300-1700m;Grassland;46.08791569
2003;7;Flat;1300-1700m;Grassland;47.07285714
2003;7;North;1300-1700m;Shrubland_Savanna;46.23
2003;7;East;1300-1700m;Shrubland_Savanna;46.51
2003;7;South;1300-1700m;Shrubland_Savanna;45.73
2003;7;West;1300-1700m;Shrubland_Savanna;46.73
2003;7;Flat;1300-1700m;Shrubland_Savanna;48.8
2003;7;North;1700-2100m;Cropland;40.45
2003;7;East;1700-2100m;Cropland;40.89
2003;7;South;1700-2100m;Cropland;39.41
2003;7;West;1700-2100m;Cropland;38.79
2003;7;Flat;1700-2100m;Cropland;39.02
2003;7;North;1700-2100m;Grassland;42.26947787
2003;7;East;1700-2100m;Grassland;42.65
2003;7;South;1700-2100m;Grassland;43.59652576
2003;7;West;1700-2100m;Grassland;43.31
2003;7;Flat;1700-2100m;Grassland;42.42
2003;7;North;2100-2500m;Grassland;40.21
2003;7;East;2100-2500m;Grassland;40.5
2003;7;South;2100-2500m;Grassland;40.84
2003;7;West;2100-2500m;Grassland;39.83
2003;7;Flat;2100-2500m;Grassland;41.41
2003;8;North;900-1300m;Cropland;47.97
2003;8;East;900-1300m;Cropland;48.585
