year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;14.63
2003;1;East;900-1300m;Cropland;14.73
2003;1;South;900-1300m;Cropland;15.15
2003;1;West;900-1300m;Cropland;12.51
2003;1;Flat;900-1300m;Cropland;15.15
2003;1;North;900-1300m;Grassland;14.83
2003;1;West;900-1300m;Grassland;17.31
2003;1;Flat;900-1300m;Grassland;18.21
2003;1;North;1300-1700m;Cropland;15.17
2003;1;East;1300-1700m;Cropland;14.28
2003;1;South;1300-1700m;Cropland;16.15
2003;1;West;1300-1700m;Cropland;14.59
2003;1;Flat;1300-1700m;Cropland;15.47
2003;1;Flat;1300-1700m;Barren_Sparse_Vegetation;14.725
2003;1;North;1300-1700m;Grassland;15.21
2003;1;East;1300-1700m;Grassland;14.592
2003;1;South;1300-1700m;Grassland;15.57
2003;1;West;1300-1700m;Grassland;15.91
2003;1;Flat;1300-1700m;Grassland;14.798
2003;1;Flat;1300-1700m;Urban;15.91
2003;1;North;1700-2100m;Grassland;13.01
2003;1;East;1700-2100m;Grassland;13.57
2003;1;South;1700-2100m;Grassland;12.61
2003;1;West;1700-2100m;Grassland;12.35
2003;1;Flat;1700-2100m;Grassland;10.35
2003;2;Flat;1300-1700m;Cropland;17.77
2003;2;North;1300-1700m;Grassland;14.51
2003;2;East;1300-1700m;Grassland;16.49
2003;2;South;1300-1700m;Grassland;14.77
2003;2;West;1300-1700m;Grassland;12.27
2003;2;Flat;1300-1700m;Grassland;16.09
2003;3;North;900-1300m;Cropland;25.97
2003;3;East;900-1300m;Cropland;23.37
2003;3;South;900-1300m;Cropland;27.39
2003;3;West;900-1300m;Cropland;26.19
2003;3;Flat;900-1300m;Cropland;26.11285714
2003;3;Flat;900-1300m;Barren_Sparse_Vegetation;15.57
2003;3;North;900-1300m;Grassland;26.1
2003;3;East;900-1300m;Grassland;25.83
2003;3;South;900-1300m;Grassland;25.57
2003;3;West;900-1300m;Grassland;25.33
2003;3;Flat;900-1300m;Grassland;26.55666667
2003;3;North;1300-1700m;Cropland;23.83
2003;3;East;1300-1700m;Cropland;23.8
2003;3;South;1300-1700m;Cropland;20.04
2003;3;West;1300-1700m;Cropland;21.43
2003;3;Flat;1300-1700m;Cropland;22.61571429
2003;3;Flat;1300-1700m;Barren_Sparse_Vegetation;25.01
2003;3;North;1300-1700m;Grassland;23.51
2003;3;East;1300-1700m;Grassland;22.85
2003;3;South;1300-1700m;Grassland;19.17
2003;3;West;1300-1700m;Grassland;22.48
2003;3;Flat;1300-1700m;Grassland;22.63
2003;3;Flat;1300-1700m;Urban;21.67
2003;4;North;900-1300m;Cropland;33.02
2003;4;East;900-1300m;Cropland;32.31
2003;4;South;900-1300m;Cropland;33.09
2003;4;West;900-1300m;Cropland;33.54
2003;4;Flat;900-1300m;Cropland;33.19620335
2003;4;Flat;900-1300m;Barren_Sparse_Vegetation;22.73
2003;4;North;900-1300m;Grassland;33.13
2003;4;East;900-1300m;Grassland;31.16
2003;4;South;900-1300m;Grassland;32.57
2003;4;West;900-1300m;Grassland;34.33
2003;4;Flat;900-1300m;Grassland;34.645
2003;4;North;1300-1700m;Cropland;32.27
2003;4;East;1300-1700m;Cropland;34.94
2003;4;South;1300-1700m;Cropland;32.13
2003;4;West;1300-1700m;Cropland;37.53
2003;4;Flat;1300-1700m;Cropland;37.936
2003;4;Flat;1300-1700m;Barren_Sparse_Vegetation;38.61
2003;4;North;1300-1700m;Grassland;31.94
2003;4;East;1300-1700m;Grassland;34.06333333
2003;4;South;1300-1700m;Grassland;34.84333333
2003;4;West;1300-1700m;Grassland;32.93166667
2003;4;Flat;1300-1700m;Grassland;34.67216653
2003;4;West;1300-1700m;Urban;37.09
2003;4;Flat;1300-1700m;Urban;39.75
2003;4;North;1700-2100m;Cropland;29.82
2003;4;East;1700-2100m;Cropland;28.85
2003;4;West;1700-2100m;Cropland;26.605
2003;4;North;1700-2100m;Grassland;27.09
2003;4;East;1700-2100m;Grassland;28.01
2003;4;South;1700-2100m;Grassland;26.11
2003;4;West;1700-2100m;Grassland;27.03
2003;4;Flat;1700-2100m;Grassland;26.07
2003;4;West;2100-2500m;Grassland;20.65
2003;5;North;900-1300m;Cropland;40.29
2003;5;East;900-1300m;Cropland;40.48
2003;5;South;900-1300m;Cropland;40.75
2003;5;West;900-1300m;Cropland;40.03
2003;5;Flat;900-1300m;Cropland;39.94636856
2003;5;Flat;900-1300m;Barren_Sparse_Vegetation;28.51
2003;5;North;900-1300m;Grassland;39.57
2003;5;East;900-1300m;Grassland;41.65
2003;5;South;900-1300m;Grassland;41.41
2003;5;West;900-1300m;Grassland;39.99
2003;5;Flat;900-1300m;Grassland;41.33561674
2003;5;North;1300-1700m;Cropland;40.46605634
