year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;12.55
2003;1;East;900-1300m;Cropland;13.21
2003;1;South;900-1300m;Cropland;14.49
2003;1;West;900-1300m;Cropland;14.59
2003;1;Flat;900-1300m;Cropland;14.80333333
2003;1;South;900-1300m;Barren_Sparse_Vegetation;14.65
2003;1;Flat;900-1300m;Barren_Sparse_Vegetation;6.89
2003;1;North;900-1300m;Grassland;14.51
2003;1;East;900-1300m;Grassland;14.27
2003;1;South;900-1300m;Grassland;14.69
2003;1;West;900-1300m;Grassland;14.75
2003;1;Flat;900-1300m;Grassland;14.51
2003;1;North;900-1300m;Urban;12.175
2003;1;South;900-1300m;Urban;13.21
2003;1;West;900-1300m;Urban;15.39
2003;1;North;1300-1700m;Cropland;10.99
2003;1;East;1300-1700m;Cropland;12.27
2003;1;South;1300-1700m;Cropland;12.79
2003;1;West;1300-1700m;Cropland;14.92
2003;1;Flat;1300-1700m;Cropland;10.95
2003;1;North;1300-1700m;Grassland;12.03
2003;1;East;1300-1700m;Grassland;10.93
2003;1;South;1300-1700m;Grassland;15.53
2003;1;West;1300-1700m;Grassland;14.17
2003;1;Flat;1300-1700m;Grassland;10.93
2003;2;South;900-1300m;Cropland;11.15
2003;2;West;900-1300m;Cropland;11.09
2003;2;Flat;900-1300m;Cropland;11.09
2003;2;Flat;900-1300m;Barren_Sparse_Vegetation;6.17
2003;2;East;1300-1700m;Cropland;9.73
2003;2;South;1300-1700m;Cropland;9.99
2003;2;West;1300-1700m;Cropland;8.75
2003;2;Flat;1300-1700m;Cropland;9.59
2003;2;South;1300-1700m;Grassland;9.67
2003;2;West;1300-1700m;Grassland;8.27
2003;3;North;900-1300m;Cropland;28.49
2003;3;East;900-1300m;Cropland;30.37
2003;3;South;900-1300m;Cropland;31.1
2003;3;West;900-1300m;Cropland;30.40400244
2003;3;Flat;900-1300m;Cropland;29.73
2003;3;South;900-1300m;Barren_Sparse_Vegetation;15.73
2003;3;West;900-1300m;Barren_Sparse_Vegetation;22.13
2003;3;Flat;900-1300m;Barren_Sparse_Vegetation;10.05
2003;3;North;900-1300m;Grassland;27.53
2003;3;East;900-1300m;Grassland;30.04
2003;3;South;900-1300m;Grassland;29.11
2003;3;West;900-1300m;Grassland;29.91
2003;3;Flat;900-1300m;Grassland;27.61
2003;3;North;900-1300m;Urban;30.155
2003;3;South;900-1300m;Urban;25.29
2003;3;West;900-1300m;Urban;30.21
2003;3;North;1300-1700m;Cropland;29.19
2003;3;East;1300-1700m;Cropland;29.85
2003;3;South;1300-1700m;Cropland;26.57
2003;3;West;1300-1700m;Cropland;29.47
2003;3;Flat;1300-1700m;Cropland;29.35
2003;3;North;1300-1700m;Grassland;28.29
2003;3;East;1300-1700m;Grassland;27.07
2003;3;South;1300-1700m;Grassland;25.17
2003;3;West;1300-1700m;Grassland;26.05
2003;3;Flat;1300-1700m;Grassland;26.23
2003;4;North;900-1300m;Cropland;34.1
2003;4;East;900-1300m;Cropland;34.6515824
2003;4;South;900-1300m;Cropland;34.77710493
2003;4;West;900-1300m;Cropland;35.04311772
2003;4;Flat;900-1300m;Cropland;36.02
2003;4;South;900-1300m;Barren_Sparse_Vegetation;30.05
2003;4;West;900-1300m;Barren_Sparse_Vegetation;36.91
2003;4;Flat;900-1300m;Barren_Sparse_Vegetation;29.83
2003;4;North;900-1300m;Grassland;36.43
2003;4;East;900-1300m;Grassland;35.87
2003;4;South;900-1300m;Grassland;37.69
2003;4;West;900-1300m;Grassland;38.28060606
2003;4;Flat;900-1300m;Grassland;36.76
2003;4;North;900-1300m;Urban;33.07
2003;4;South;900-1300m;Urban;36.81
2003;4;West;900-1300m;Urban;36.01
2003;4;North;1300-1700m;Cropland;30.19
2003;4;East;1300-1700m;Cropland;33.97
2003;4;South;1300-1700m;Cropland;31.39
2003;4;West;1300-1700m;Cropland;31.69
2003;4;Flat;1300-1700m;Cropland;32.62
